name results gts
rec_022/head/000000/000131.jpg 0.0,0.0 0.4719235,0.057821166
[60] Total Num: 1, avg: 27.226232919455047rec_022/head/000022/000131.jpg 0.0,0.0 0.188572,0.03648134
[60] Total Num: 2, avg: 19.11429262949621rec_022/head/000001/000131.jpg 0.0,0.0 0.38652006,0.055528205
[60] Total Num: 3, avg: 20.19684467693014rec_022/head/000002/000131.jpg 0.0,0.0 0.29055047,0.029494774
[60] Total Num: 4, avg: 19.330247173460307rec_022/head/000584/000131.jpg 0.0,0.0 0.44616547,0.056844443
[60] Total Num: 5, avg: 20.61543634320367rec_022/head/000585/000131.jpg 0.0,0.0 0.5142382,0.065744676
[60] Total Num: 6, avg: 22.12653847017359rec_022/head/000022/000132.jpg 0.0,0.0 0.19466749,0.04212939
[60] Total Num: 7, avg: 20.595404527943906rec_022/head/000000/000132.jpg 0.0,0.0 0.47634363,0.06371148
[60] Total Num: 8, avg: 21.460594743621698rec_022/head/000001/000132.jpg 0.0,0.0 0.38369307,0.06109363
[60] Total Num: 9, avg: 21.54800412261658rec_022/head/000002/000132.jpg 0.0,0.0 0.29713812,0.036276482
[60] Total Num: 10, avg: 21.107947631266498rec_022/head/000584/000132.jpg 0.0,0.0 0.44432917,0.06234931
[60] Total Num: 11, avg: 21.524592678031947rec_022/head/000585/000132.jpg 0.0,0.0 0.5161182,0.07192721
[60] Total Num: 12, avg: 22.21683034473976rec_022/head/000022/000133.jpg 0.0,0.0 0.21379939,0.053477574
[60] Total Num: 13, avg: 21.4787287155191rec_022/head/000000/000133.jpg 0.0,0.0 0.49450573,0.07717485
[60] Total Num: 14, avg: 21.990803966331452rec_022/head/000001/000133.jpg 0.0,0.0 0.40538344,0.07379261
[60] Total Num: 15, avg: 22.09724720701312rec_022/head/000002/000133.jpg 0.0,0.0 0.31613618,0.04801245
[60] Total Num: 16, avg: 21.86079695547254rec_022/head/000584/000133.jpg 0.0,0.0 0.4596377,0.075231455
[60] Total Num: 17, avg: 22.143152353509844rec_022/head/000585/000133.jpg 0.0,0.0 0.541798,0.08751229
[60] Total Num: 18, avg: 22.65770644455249rec_022/head/000022/000134.jpg 0.0,0.0 0.24462146,0.06329281
[60] Total Num: 19, avg: 22.226680904113174rec_022/head/000000/000134.jpg 0.0,0.0 0.52057076,0.08908222
[60] Total Num: 20, avg: 22.62636779446033rec_022/head/000001/000134.jpg 0.0,0.0 0.43629822,0.08499717
[60] Total Num: 21, avg: 22.76025705507944rec_022/head/000002/000134.jpg 0.0,0.0 0.34952927,0.059385125
[60] Total Num: 22, avg: 22.648510553188796rec_022/head/000584/000134.jpg 0.0,0.0 0.4893389,0.087513566
[60] Total Num: 23, avg: 22.900577351372593rec_022/head/000585/000134.jpg 0.0,0.0 0.5738126,0.10141783
[60] Total Num: 24, avg: 23.335126850912044rec_022/head/000022/000135.jpg 0.0,0.0 0.28381607,0.066569455
[60] Total Num: 25, avg: 23.069362457867182rec_022/head/000000/000135.jpg 0.0,0.0 0.56274605,0.09517382
[60] Total Num: 26, avg: 23.437915487491388rec_022/head/000001/000135.jpg 0.0,0.0 0.46707192,0.08825043
[60] Total Num: 27, avg: 23.577254424220854rec_022/head/000002/000135.jpg 0.0,0.0 0.38307038,0.062557556
[60] Total Num: 28, avg: 23.528951720395106rec_022/head/000584/000135.jpg 0.0,0.0 0.5281621,0.09242396
[60] Total Num: 29, avg: 23.775470612204185rec_022/head/000585/000135.jpg 0.0,0.0 0.60162336,0.105695724
[60] Total Num: 30, avg: 24.1474051529218rec_022/head/000022/000136.jpg 0.0,0.0 0.31101638,0.056835115
[60] Total Num: 31, avg: 23.95250549056662rec_022/head/000000/000136.jpg 0.0,0.0 0.5997381,0.08616427
[60] Total Num: 32, avg: 24.287493214942728rec_022/head/000001/000136.jpg 0.0,0.0 0.5003898,0.07912058
[60] Total Num: 33, avg: 24.430185204687135rec_022/head/000002/000136.jpg 0.0,0.0 0.4175041,0.054375466
[60] Total Num: 34, avg: 24.42080964564954rec_022/head/000584/000136.jpg 0.0,0.0 0.5717169,0.08461115
[60] Total Num: 35, avg: 24.668048693389924rec_022/head/000585/000136.jpg 0.0,0.0 0.6348843,0.0964255
[60] Total Num: 36, avg: 25.003268986543482rec_022/head/000000/000137.jpg 0.0,0.0 0.61582965,0.06726923
[60] Total Num: 37, avg: 25.28607674593756rec_022/head/000022/000137.jpg 0.0,0.0 0.32338604,0.039243914
[60] Total Num: 38, avg: 25.111701934479793rec_022/head/000001/000137.jpg 0.0,0.0 0.5250626,0.06273151
[60] Total Num: 39, avg: 25.244167243674717rec_022/head/000002/000137.jpg 0.0,0.0 0.42972955,0.03641398
[60] Total Num: 40, avg: 25.230674001456528rec_022/head/000584/000137.jpg 0.0,0.0 0.58797854,0.06569878
[60] Total Num: 41, avg: 25.44147866617899rec_022/head/000585/000137.jpg 0.0,0.0 0.65768206,0.07764853
[60] Total Num: 42, avg: 25.73823764870096rec_022/head/000022/000138.jpg 0.0,0.0 0.32333794,0.026163843
[60] Total Num: 43, avg: 25.571867667792198rec_022/head/000000/000138.jpg 0.0,0.0 0.6203415,0.05242184
[60] Total Num: 44, avg: 25.800983641340782rec_022/head/000001/000138.jpg 0.0,0.0 0.5313942,0.049707808
