name results gts
rec_022/head/000000/000131.jpg 0.0,0.0 0.4719235,0.057821166
[30] Total Num: 1, avg: 27.226232919455047rec_022/head/000022/000131.jpg 0.0,0.0 0.188572,0.03648134
[30] Total Num: 2, avg: 19.11429262949621rec_022/head/000001/000131.jpg 0.0,0.0 0.38652006,0.055528205
[30] Total Num: 3, avg: 20.19684467693014rec_022/head/000002/000131.jpg 0.0,0.0 0.29055047,0.029494774
[30] Total Num: 4, avg: 19.330247173460307rec_022/head/000584/000131.jpg 0.0,0.0 0.44616547,0.056844443
[30] Total Num: 5, avg: 20.61543634320367rec_022/head/000585/000131.jpg 0.0,0.0 0.5142382,0.065744676
[30] Total Num: 6, avg: 22.12653847017359rec_022/head/000022/000132.jpg 0.0,0.0 0.19466749,0.04212939
[30] Total Num: 7, avg: 20.595404527943906rec_022/head/000000/000132.jpg 0.0,0.0 0.47634363,0.06371148
[30] Total Num: 8, avg: 21.460594743621698rec_022/head/000001/000132.jpg 0.0,0.0 0.38369307,0.06109363
[30] Total Num: 9, avg: 21.54800412261658rec_022/head/000002/000132.jpg 0.0,0.0 0.29713812,0.036276482
[30] Total Num: 10, avg: 21.107947631266498rec_022/head/000584/000132.jpg 0.0,0.0 0.44432917,0.06234931
[30] Total Num: 11, avg: 21.524592678031947rec_022/head/000585/000132.jpg 0.0,0.0 0.5161182,0.07192721
[30] Total Num: 12, avg: 22.21683034473976rec_022/head/000022/000133.jpg 0.0,0.0 0.21379939,0.053477574
[30] Total Num: 13, avg: 21.4787287155191rec_022/head/000000/000133.jpg 0.0,0.0 0.49450573,0.07717485
[30] Total Num: 14, avg: 21.990803966331452rec_022/head/000001/000133.jpg 0.0,0.0 0.40538344,0.07379261
[30] Total Num: 15, avg: 22.09724720701312rec_022/head/000002/000133.jpg 0.0,0.0 0.31613618,0.04801245
[30] Total Num: 16, avg: 21.86079695547254rec_022/head/000584/000133.jpg 0.0,0.0 0.4596377,0.075231455
[30] Total Num: 17, avg: 22.143152353509844rec_022/head/000585/000133.jpg 0.0,0.0 0.541798,0.08751229
[30] Total Num: 18, avg: 22.65770644455249rec_022/head/000022/000134.jpg 0.0,0.0 0.24462146,0.06329281
[30] Total Num: 19, avg: 22.226680904113174rec_022/head/000000/000134.jpg 0.0,0.0 0.52057076,0.08908222
[30] Total Num: 20, avg: 22.62636779446033rec_022/head/000001/000134.jpg 0.0,0.0 0.43629822,0.08499717
[30] Total Num: 21, avg: 22.76025705507944rec_022/head/000002/000134.jpg 0.0,0.0 0.34952927,0.059385125
[30] Total Num: 22, avg: 22.648510553188796rec_022/head/000584/000134.jpg 0.0,0.0 0.4893389,0.087513566
[30] Total Num: 23, avg: 22.900577351372593rec_022/head/000585/000134.jpg 0.0,0.0 0.5738126,0.10141783
[30] Total Num: 24, avg: 23.335126850912044rec_022/head/000022/000135.jpg 0.0,0.0 0.28381607,0.066569455
[30] Total Num: 25, avg: 23.069362457867182rec_022/head/000000/000135.jpg 0.0,0.0 0.56274605,0.09517382
