name results gts
rec_022/head/000000/000131.jpg 0.0,0.0 0.4719235,0.057821166
[20] Total Num: 1, avg: 27.226232919455047rec_022/head/000022/000131.jpg 0.0,0.0 0.188572,0.03648134
[20] Total Num: 2, avg: 19.11429262949621rec_022/head/000001/000131.jpg 0.0,0.0 0.38652006,0.055528205
[20] Total Num: 3, avg: 20.19684467693014rec_022/head/000002/000131.jpg 0.0,0.0 0.29055047,0.029494774
[20] Total Num: 4, avg: 19.330247173460307rec_022/head/000584/000131.jpg 0.0,0.0 0.44616547,0.056844443
[20] Total Num: 5, avg: 20.61543634320367rec_022/head/000585/000131.jpg 0.0,0.0 0.5142382,0.065744676
[20] Total Num: 6, avg: 22.12653847017359rec_022/head/000022/000132.jpg 0.0,0.0 0.19466749,0.04212939
[20] Total Num: 7, avg: 20.595404527943906rec_022/head/000000/000132.jpg 0.0,0.0 0.47634363,0.06371148
[20] Total Num: 8, avg: 21.460594743621698rec_022/head/000001/000132.jpg 0.0,0.0 0.38369307,0.06109363
[20] Total Num: 9, avg: 21.54800412261658rec_022/head/000002/000132.jpg 0.0,0.0 0.29713812,0.036276482
[20] Total Num: 10, avg: 21.107947631266498rec_022/head/000584/000132.jpg 0.0,0.0 0.44432917,0.06234931
[20] Total Num: 11, avg: 21.524592678031947rec_022/head/000585/000132.jpg 0.0,0.0 0.5161182,0.07192721
[20] Total Num: 12, avg: 22.21683034473976rec_022/head/000022/000133.jpg 0.0,0.0 0.21379939,0.053477574
[20] Total Num: 13, avg: 21.4787287155191rec_022/head/000000/000133.jpg 0.0,0.0 0.49450573,0.07717485
[20] Total Num: 14, avg: 21.990803966331452rec_022/head/000001/000133.jpg 0.0,0.0 0.40538344,0.07379261
[20] Total Num: 15, avg: 22.09724720701312rec_022/head/000002/000133.jpg 0.0,0.0 0.31613618,0.04801245
[20] Total Num: 16, avg: 21.86079695547254rec_022/head/000584/000133.jpg 0.0,0.0 0.4596377,0.075231455
[20] Total Num: 17, avg: 22.143152353509844rec_022/head/000585/000133.jpg 0.0,0.0 0.541798,0.08751229
[20] Total Num: 18, avg: 22.65770644455249rec_022/head/000022/000134.jpg 0.0,0.0 0.24462146,0.06329281
[20] Total Num: 19, avg: 22.226680904113174rec_022/head/000000/000134.jpg 0.0,0.0 0.52057076,0.08908222
[20] Total Num: 20, avg: 22.62636779446033rec_022/head/000001/000134.jpg 0.0,0.0 0.43629822,0.08499717
[20] Total Num: 21, avg: 22.76025705507944rec_022/head/000002/000134.jpg 0.0,0.0 0.34952927,0.059385125
[20] Total Num: 22, avg: 22.648510553188796rec_022/head/000584/000134.jpg 0.0,0.0 0.4893389,0.087513566
[20] Total Num: 23, avg: 22.900577351372593rec_022/head/000585/000134.jpg 0.0,0.0 0.5738126,0.10141783
[20] Total Num: 24, avg: 23.335126850912044rec_022/head/000022/000135.jpg 0.0,0.0 0.28381607,0.066569455
[20] Total Num: 25, avg: 23.069362457867182rec_022/head/000000/000135.jpg 0.0,0.0 0.56274605,0.09517382
[20] Total Num: 26, avg: 23.437915487491388rec_022/head/000001/000135.jpg 0.0,0.0 0.46707192,0.08825043
[20] Total Num: 27, avg: 23.577254424220854rec_022/head/000002/000135.jpg 0.0,0.0 0.38307038,0.062557556
[20] Total Num: 28, avg: 23.528951720395106rec_022/head/000584/000135.jpg 0.0,0.0 0.5281621,0.09242396
[20] Total Num: 29, avg: 23.775470612204185rec_022/head/000585/000135.jpg 0.0,0.0 0.60162336,0.105695724
[20] Total Num: 30, avg: 24.1474051529218rec_022/head/000022/000136.jpg 0.0,0.0 0.31101638,0.056835115
[20] Total Num: 31, avg: 23.95250549056662rec_022/head/000000/000136.jpg 0.0,0.0 0.5997381,0.08616427
[20] Total Num: 32, avg: 24.287493214942728rec_022/head/000001/000136.jpg 0.0,0.0 0.5003898,0.07912058
[20] Total Num: 33, avg: 24.430185204687135rec_022/head/000002/000136.jpg 0.0,0.0 0.4175041,0.054375466
[20] Total Num: 34, avg: 24.42080964564954rec_022/head/000584/000136.jpg 0.0,0.0 0.5717169,0.08461115
[20] Total Num: 35, avg: 24.668048693389924rec_022/head/000585/000136.jpg 0.0,0.0 0.6348843,0.0964255
[20] Total Num: 36, avg: 25.003268986543482rec_022/head/000000/000137.jpg 0.0,0.0 0.61582965,0.06726923
[20] Total Num: 37, avg: 25.28607674593756rec_022/head/000022/000137.jpg 0.0,0.0 0.32338604,0.039243914
[20] Total Num: 38, avg: 25.111701934479793rec_022/head/000001/000137.jpg 0.0,0.0 0.5250626,0.06273151
[20] Total Num: 39, avg: 25.244167243674717rec_022/head/000002/000137.jpg 0.0,0.0 0.42972955,0.03641398
[20] Total Num: 40, avg: 25.230674001456528rec_022/head/000584/000137.jpg 0.0,0.0 0.58797854,0.06569878
[20] Total Num: 41, avg: 25.44147866617899rec_022/head/000585/000137.jpg 0.0,0.0 0.65768206,0.07764853
[20] Total Num: 42, avg: 25.73823764870096rec_022/head/000022/000138.jpg 0.0,0.0 0.32333794,0.026163843
[20] Total Num: 43, avg: 25.571867667792198rec_022/head/000000/000138.jpg 0.0,0.0 0.6203415,0.05242184
[20] Total Num: 44, avg: 25.800983641340782rec_022/head/000001/000138.jpg 0.0,0.0 0.5313942,0.049707808
[20] Total Num: 45, avg: 25.906891312648934rec_022/head/000002/000138.jpg 0.0,0.0 0.4282416,0.022645282
[20] Total Num: 46, avg: 25.8777980005101rec_022/head/000584/000138.jpg 0.0,0.0 0.58720976,0.05096364
[20] Total Num: 47, avg: 26.045424697149347rec_022/head/000585/000138.jpg 0.0,0.0 0.66542166,0.062624246
[20] Total Num: 48, avg: 26.300076957907518rec_022/head/000022/000139.jpg 0.0,0.0 0.30712724,0.02504333
[20] Total Num: 49, avg: 26.123619325888257rec_022/head/000000/000139.jpg 0.0,0.0 0.61126053,0.0507824
[20] Total Num: 50, avg: 26.303705164998764rec_022/head/000001/000139.jpg 0.0,0.0 0.5244532,0.048568003
[20] Total Num: 51, avg: 26.379427486314277rec_022/head/000002/000139.jpg 0.0,0.0 0.4175792,0.021068547
[20] Total Num: 52, avg: 26.33278793653371rec_022/head/000584/000139.jpg 0.0,0.0 0.5754592,0.048852693
[20] Total Num: 53, avg: 26.46002987444252rec_022/head/000585/000139.jpg 0.0,0.0 0.6467946,0.05984
[20] Total Num: 54, avg: 26.658810685394705rec_022/head/000022/000140.jpg 0.0,0.0 0.28992084,0.03097904
[20] Total Num: 55, avg: 26.477798564829623rec_022/head/000000/000140.jpg 0.0,0.0 0.5919083,0.05710649
[20] Total Num: 56, avg: 26.613061390352467rec_022/head/000001/000140.jpg 0.0,0.0 0.506336,0.05585204
[20] Total Num: 57, avg: 26.65794830100704rec_022/head/000002/000140.jpg 0.0,0.0 0.39096624,0.027030678
[20] Total Num: 58, avg: 26.585422304140685rec_022/head/000584/000140.jpg 0.0,0.0 0.5538002,0.05538907
[20] Total Num: 59, avg: 26.675029291306682rec_022/head/000585/000140.jpg 0.0,0.0 0.6386165,0.067498125
[20] Total Num: 60, avg: 26.84320231917967rec_022/head/000000/000141.jpg 0.0,0.0 0.55290794,0.059859637
[20] Total Num: 61, avg: 26.925202172395313rec_022/head/000022/000141.jpg 0.0,0.0 0.25307116,0.035387132
[20] Total Num: 62, avg: 26.727020959964634rec_022/head/000001/000141.jpg 0.0,0.0 0.46464518,0.059303645
[20] Total Num: 63, avg: 26.728535775255835rec_022/head/000002/000141.jpg 0.0,0.0 0.35588428,0.029473752
[20] Total Num: 64, avg: 26.63055095843538rec_022/head/000584/000141.jpg 0.0,0.0 0.51778257,0.05812839
[20] Total Num: 65, avg: 26.6798687007947rec_022/head/000585/000141.jpg 0.0,0.0 0.5935469,0.06888652
[20] Total Num: 66, avg: 26.79394066962621rec_022/head/000000/000142.jpg 0.0,0.0 0.50495726,0.05092225
[20] Total Num: 67, avg: 26.82785200685396rec_022/head/000001/000142.jpg 0.0,0.0 0.42561725,0.052391995
[20] Total Num: 68, avg: 26.794485384603977rec_022/head/000022/000142.jpg 0.0,0.0 0.2153301,0.030282142
[20] Total Num: 69, avg: 26.586696247764458rec_022/head/000002/000142.jpg 0.0,0.0 0.3148376,0.022869023
[20] Total Num: 70, avg: 26.465240777101982rec_022/head/000584/000142.jpg 0.0,0.0 0.48109594,0.050214354
[20] Total Num: 71, avg: 26.482671188044876rec_022/head/000585/000142.jpg 0.0,0.0 0.5472792,0.059297517
[20] Total Num: 72, avg: 26.552657045656137rec_022/head/000022/000143.jpg 0.0,0.0 0.18377957,0.011782331
[20] Total Num: 73, avg: 26.33345854812935rec_022/head/000000/000143.jpg 0.0,0.0 0.47542673,0.028687663
[20] Total Num: 74, avg: 26.34632672653249rec_022/head/000001/000143.jpg 0.0,0.0 0.39514795,0.031248715
[20] Total Num: 75, avg: 26.297806128364158rec_022/head/000002/000143.jpg 0.0,0.0 0.28743842,0.0036902234
[20] Total Num: 76, avg: 26.16849719565768rec_022/head/000584/000143.jpg 0.0,0.0 0.44593114,0.028140195
[20] Total Num: 77, avg: 26.161080110016204rec_022/head/000585/000143.jpg 0.0,0.0 0.5212827,0.036889624
[20] Total Num: 78, avg: 26.209465064459938rec_022/head/000000/000144.jpg 0.0,0.0 0.4529479,0.0051499177
[20] Total Num: 79, avg: 26.206225841373566rec_022/head/000022/000144.jpg 0.0,0.0 0.17252013,-0.010057258
[20] Total Num: 80, avg: 26.002414148855088rec_022/head/000001/000144.jpg 0.0,0.0 0.3772245,0.008789563
[20] Total Num: 81, avg: 25.94829739913668rec_022/head/000002/000144.jpg 0.0,0.0 0.27421305,-0.017718492
[20] Total Num: 82, avg: 25.82384487708995rec_022/head/000584/000144.jpg 0.0,0.0 0.42568648,0.0038766016
[20] Total Num: 83, avg: 25.806581559277795rec_022/head/000585/000144.jpg 0.0,0.0 0.49784118,0.011862851
[20] Total Num: 84, avg: 25.839022445603756rec_022/head/000001/000145.jpg 0.0,0.0 0.38668534,-0.0006216195
[20] Total Num: 85, avg: 25.795686498335137rec_022/head/000022/000145.jpg 0.0,0.0 0.18605742,-0.01996421
[20] Total Num: 86, avg: 25.620397027258477rec_022/head/000000/000145.jpg 0.0,0.0 0.45791933,-0.0056562815
[20] Total Num: 87, avg: 25.627504006010632rec_022/head/000002/000145.jpg 0.0,0.0 0.28797656,-0.02704983
